strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
JU1581,10.5471,0.021346,-42.8969,9.7494,504.9902,0.43938,1628.4343,1665.7866,663.428,404.7776,-9.66,0.019433,-26.2,0.019556,-2.24,-4.311,10.1097,17.9351,18.2554,-2.4426,2.7732,9.1509,-0.68517
JU1586,27.8389,0.034925,1.5374,29.6753,610.8798,0.78474,485.8649,921.4708,408.2475,547.2009,-8.38,0.013697,-22.9,0.0048094,-4.86,-19.871,28.5423,6.0744,23.7857,-4.3643,6.9535,23.2678,-8.0877
JU1652,41.0489,0.042929,-29.2558,27.7486,396.2509,0.25565,1793.2176,627.5083,19.1772,227.6716,-9.56,0.0093375,-50.7,0.0046867,-28.52,-15.9586,17.3213,14.6452,26.5616,-7.7517,6.375,18.0592,6.7943
JU1793,18.4174,0.0264,-8.9683,15.7511,408.9088,0.54383,1753.901,922.1721,265.4679,122.3181,-4.13,0.0059683,-63.52,0.0062643,-26.58,-1.3858,11.0839,2.8183,18.1042,-5.007,-2.6948,7.4202,-22.1986
JU1808,2.9582,0.0059997,-1.0278,6.5899,582.4917,0.61114,2260.1499,1461.9054,354.9608,561.5361,-4.12,0.0062797,-32.54,0.004292,-15.98,-7.7006,-1.6613,2.1484,-6.5757,-2.075,0.63645,0.74576,-74.5366
JU1896,47.2522,0.049661,-10.7468,43.3936,1038.5464,1.0811,1812.0511,566.307,328.4903,929.6881,-11.98,0.014838,-46.9,0.0065131,-13.6,-26.3504,22.69,11.382,14.7201,-7.9203,1.304,18.9894,-3.8484
JU2001,0.95746,-0.0016963,-18.6543,27.0632,547.6814,1.0703,1592.3511,680.539,248.0041,499.5895,-12.16,0.0046017,-36.18,0.0021554,-16.98,-16.2672,26.2517,18.6072,30.6624,-11.2822,9.5687,23.9279,-22.6597
JU2007,34.9099,0.034893,-21.8249,36.0794,700.5735,0.70824,1474.2343,551.262,463.3073,630.9788,-6,0.015452,-26.8,0.0049366,-7.04,-13.7357,21.3421,15.6991,11.1165,-6.405,7.7463,19.8878,-2.3782
JU2131,46.0162,0.05504,-47.2406,48.5793,1018.7016,1.2114,1431.6026,340.2904,185.3054,947.0667,-7.84,0.015066,-27.76,0.0020264,-12.66,-13.4136,22.9342,23.4772,37.6052,-8.5852,7.2188,25.03,-3.199
JU2141,56.4702,0.065625,-44.2887,51.8032,460.6554,0.40405,1430.3015,761.9021,312.9961,335.6555,-9.36,0.01325,-48.4,0.0069431,-28.5,-23.7236,22.6481,1.811,25.5705,-9.1942,4.1156,24.7399,-42.907
JU2234,12.8983,0.0087731,15.8778,18.3112,486.5878,0.35849,397.2061,65.2206,315.9201,546.3071,-3.8,0.013685,-42.3,0.0084008,-16.08,-9.2995,16.5034,1.9301,2.8343,-3.481,1.7893,12.512,-44.1518
JU2464,3.9948,0.0090416,-10.3291,14.1632,1144.0537,1.3916,1494.0706,259.3741,209.1508,1132.9,-5.08,0.007563,-32.56,0.0019771,8.84,-10.9924,15.3626,7.5229,20.3256,-11.7222,8.4807,23.3002,-48.7859
JU2466,-3.7051,-0.0038778,-23.7955,8.871,584.3494,0.73932,1900.0479,956.2765,531.6553,533.02,-7.52,0.0062824,-52.36,0.0069639,-13.08,-18.9826,30.4143,6.1788,46.1778,-6.7136,9.6091,25.696,-55.0037
JU2513,41.3672,0.047705,-27.9922,34.9624,999.6554,1.1664,2149.7062,1414.1926,694.7178,887.078,-6.98,0.019998,-33.44,0.011736,-6.96,-10.767,23.945,20.3346,23.7691,-5.1108,2.3592,21.4776,-59.1912
